last_complete_timeYear,last_complete_timeWeek,activos,nuevos,reengaged
2019,45,104.0,,
2019,46,358.0,,
2019,47,332.0,,
2019,48,361.0,,
2019,49,349.0,,
2019,50,421.0,,
2019,51,460.0,,
2019,52,263.0,,
2020,2,236.0,,
2020,3,363.0,,
2020,4,293.0,,
2020,5,295.0,,
2019,44,,839.0,
2019,45,,3789.0,
2019,46,,3822.0,
2019,47,,4512.0,
2019,48,,4836.0,
2019,49,,5551.0,
2019,50,,5159.0,
2019,51,,3552.0,
2019,52,,2574.0,
2020,1,,2585.0,
2020,2,,3369.0,
2020,3,,3714.0,
2020,4,,2874.0,
2020,5,,2167.0,
2019,47,,,3.0
2019,48,,,7.0
2019,49,,,1.0
2019,51,,,5.0
2019,52,,,2.0
2020,1,,,710.0
2020,2,,,2.0
2020,3,,,5.0
2020,4,,,3.0
